pid,name,birthdate,college,height,weight,current_team
112,Kyle Collinsworth,3-Oct-91,Brigham Young University,80,230,Dallas Mavericks
113,Darren Collison,23-Aug-87,"University of California, Los Angeles",75,190,Indiana Pacers
114,Nick Collison,26-Oct-80,University of Kansas,76,205,Oklahoma City Thunder
115,Mike Conley,11-Oct-87,Ohio State University,82,253,Memphis Grizzlies
116,Pat Connaughton,6-Jan-93,University of Notre Dame,83,237,Portland Trail Blazers
117,Quinn Cook,23-Mar-93,Duke University,82,240,Golden State Warriors
118,Charles Cooke,1-Jul-94,University of Dayton,84,245,New Orleans Pelicans
119,Jack Cooley,4-Apr-91,University of Notre Dame,81,230,Sacramento Kings
120,Matt Costello,5-Aug-93,Michigan State University,75,190,San Antonio Spurs
121,DeMarcus Cousins,13-Aug-90,University of Kentucky,76,198,New Orleans Pelicans
122,Robert Covington,14-Dec-90,Tennessee State University,81,220,Philadelphia 76ers
123,Allen Crabbe,9-Apr-92,University of California,79,221,Brooklyn Nets
124,Torrey Craig,19-Dec-90,University of South Carolina Upstate,81,220,Denver Nuggets
125,Jamal Crawford,20-Mar-80,University of Michigan,83,241,Minnesota Timberwolves
126,Jordan Crawford,23-Oct-88,Xavier University,78,200,New Orleans Pelicans
127,Jae Crowder,6-Jul-90,Marquette University,77,183,Utah Jazz
128,Dante Cunningham,22-Apr-87,Villanova University,78,205,Brooklyn Nets
129,Seth Curry,23-Aug-90,Duke University,75,190,
130,Stephen Curry,14-Mar-88,Davidson College,83,279,Golden State Warriors
131,Troy Daniels,15-Jul-91,Virginia Commonwealth University,79,225,Phoenix Suns
132,Anthony Davis,11-Mar-93,University of Kentucky,76,210,New Orleans Pelicans
133,Deyonta Davis,2-Dec-96,Michigan State University,81,240,Memphis Grizzlies
134,Ed Davis,5-Jun-89,University of North Carolina,83,245,Portland Trail Blazers
135,Dewayne Dedmon,12-Aug-89,University of Southern California,76,200,Atlanta Hawks
136,Sam Dekker,6-May-94,University of Wisconsin,84,250,Los Angeles Clippers
137,Malcolm Delaney,11-Mar-89,Virginia Polytechnic Institute and State University,79,210,Atlanta Hawks
138,Matthew Dellavedova,8-Sep-90,Saint Mary's College of California,75,194,Milwaukee Bucks
139,Luol Deng,16-Apr-85,Duke University,72,185,Los Angeles Lakers
140,DeMar DeRozan,7-Aug-89,University of Southern California,78,220,Toronto Raptors
141,Cheick Diallo,13-Sep-96,University of Kansas,80,228,New Orleans Pelicans
142,Boris Diaw,16-Apr-82,,82,265,
143,Gorgui Dieng,18-Jan-90,University of Louisville,69,176,Minnesota Timberwolves
144,Spencer Dinwiddie,6-Apr-93,University of Colorado,82,275,Brooklyn Nets
145,Tyler Dorsey,14-Feb-96,University of Oregon,73,205,Atlanta Hawks
146,Damyean Dotson,6-May-94,University of Houston,79,184,New York Knicks
147,Toney Douglas,16-Mar-86,Florida State University,72,180,
148,Goran Dragic,6-May-86,,80,220,
149,Andre Drummond,10-Aug-93,University of Connecticut,75,190,Detroit Pistons
150,Jared Dudley,10-Jul-85,Boston College,79,205,Phoenix Suns
151,Mike Dunleavy,15-Sep-80,Duke University,75,170,
152,Kris Dunn,18-Mar-94,Providence College,73,170,Chicago Bulls
