gid,date_time_start,stadium,is_playoff,home_team,away_team,home_points,away_points
43040WAS,11/01/17 07:00,Verizon Center,FALSE,Washington Wizards,Phoenix Suns,116,122
43040BOS,11/01/17 07:30,TD Garden,FALSE,Boston Celtics,Sacramento Kings,113,86
43040MIA,11/01/17 07:30,AmericanAirlines Arena,FALSE,Miami Heat,Chicago Bulls,97,91
43040MEM,11/01/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Orlando Magic,99,101
43040NO,11/01/17 08:00,New Orleans Arena,FALSE,New Orleans Pelicans,Minnesota Timberwolves,98,104
43040NY,11/01/17 08:00,Madison Square Garden,FALSE,New York Knicks,Houston Rockets,97,119
43040DEN,11/01/17 09:00,Pepsi Center,FALSE,Denver Nuggets,Toronto Raptors,129,111
43040UTA,11/01/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Portland Trail Blazers,112,103
43040LAC,11/01/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Dallas Mavericks,119,98
43041SA,11/02/17 08:00,AT&T Center,FALSE,San Antonio Spurs,Golden State Warriors,92,112
43041POR,11/02/17 10:30,Rose Garden,FALSE,Portland Trail Blazers,Los Angeles Lakers,113,110
43042DET,11/03/17 07:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Milwaukee Bucks,105,96
43042ORL,11/03/17 07:00,Amway Center,FALSE,Orlando Magic,Chicago Bulls,83,105
43042PHI,11/03/17 07:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Indiana Pacers,121,110
43042WAS,11/03/17 07:00,Verizon Center,FALSE,Washington Wizards,Cleveland Cavaliers,122,130
43042ATL,11/03/17 07:30,Philips Arena,FALSE,Atlanta Hawks,Houston Rockets,104,119
43042NY,11/03/17 07:30,Madison Square Garden,FALSE,New York Knicks,Phoenix Suns,120,107
43042DAL,11/03/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,New Orleans Pelicans,94,99
43042SA,11/03/17 08:30,AT&T Center,FALSE,San Antonio Spurs,Charlotte Hornets,108,101
43042DEN,11/03/17 09:00,Pepsi Center,FALSE,Denver Nuggets,Miami Heat,95,94
43042UTA,11/03/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Toronto Raptors,100,109
43042OKC,11/03/17 09:30,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Boston Celtics,94,101
43042LAL,11/03/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Brooklyn Nets,124,112
43043LAC,11/04/17 03:30,Staples Center,FALSE,Los Angeles Clippers,Memphis Grizzlies,104,113
43043DET,11/04/17 07:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Sacramento Kings,108,99
43043CHI,11/04/17 08:00,United Center,FALSE,Chicago Bulls,New Orleans Pelicans,90,96
43043MIN,11/04/17 08:00,Target Center,FALSE,Minnesota Timberwolves,Dallas Mavericks,112,99
43043DEN,11/04/17 09:00,Pepsi Center,FALSE,Denver Nuggets,Golden State Warriors,108,127
43044CLE,11/05/17 03:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Atlanta Hawks,115,117
43044LAC,11/05/17 03:30,Staples Center,FALSE,Los Angeles Clippers,Miami Heat,101,104
43044ORL,11/05/17 06:00,Amway Center,FALSE,Orlando Magic,Boston Celtics,88,104
43044TOR,11/05/17 06:00,Air Canada Centre,FALSE,Toronto Raptors,Washington Wizards,96,107
43044HOU,11/05/17 07:00,Toyota Center,FALSE,Houston Rockets,Utah Jazz,137,110
43044SA,11/05/17 07:00,AT&T Center,FALSE,San Antonio Spurs,Phoenix Suns,112,95
43044NY,11/05/17 07:30,Madison Square Garden,FALSE,New York Knicks,Indiana Pacers,108,101
43044MIN,11/05/17 08:00,Target Center,FALSE,Minnesota Timberwolves,Charlotte Hornets,112,94
43044POR,11/05/17 09:00,Rose Garden,FALSE,Portland Trail Blazers,Oklahoma City Thunder,103,99
43044LAL,11/05/17 09:30,Staples Center,FALSE,Los Angeles Lakers,Memphis Grizzlies,107,102
43045ATL,11/06/17 07:30,Philips Arena,FALSE,Atlanta Hawks,Boston Celtics,107,110
43045PHO,11/06/17 09:00,US Airways Center,FALSE,Phoenix Suns,Brooklyn Nets,92,98
43045GS,11/06/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Miami Heat,97,80
43046CLE,11/07/17 07:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Milwaukee Bucks,124,119
43046IND,11/07/17 07:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,New Orleans Pelicans,112,117
43046WAS,11/07/17 07:00,Verizon Center,FALSE,Washington Wizards,Dallas Mavericks,99,113
43046NY,11/07/17 07:30,Madison Square Garden,FALSE,New York Knicks,Charlotte Hornets,118,113
43046TOR,11/07/17 07:30,Air Canada Centre,FALSE,Toronto Raptors,Chicago Bulls,119,114
