gid,teamAbbr,playDispNm,minutes,points,assists,turnovers,steals,blocks,fouls,fga,fgm,threepa,threepm,fta,ftm,rebounds
43103BKN,MIN,Aaron Brooks,4,0,1,0,0,0,0,1,0,0,0,0,0,0
43103BKN,MIN,Marcus Georges-Hunt,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43103BKN,BKN,Spencer Dinwiddie,36,26,9,3,1,0,1,14,9,7,4,4,4,1
43103BKN,BKN,DeMarre Carroll,31,9,1,4,0,1,1,11,3,4,1,2,2,4
43103BKN,BKN,Allen Crabbe,31,9,3,2,2,0,5,9,3,6,2,1,1,8
43103BKN,BKN,Rondae Hollis-Jefferson,27,10,1,3,0,1,5,8,4,0,0,2,2,5
43103BKN,BKN,Tyler Zeller,13,6,1,0,0,0,3,4,3,0,0,0,0,5
43103BKN,BKN,Quincy Acy,28,8,3,1,0,0,3,6,3,5,2,0,0,1
43103BKN,BKN,Joe Harris,28,17,1,2,0,0,0,7,6,5,4,2,1,4
43103BKN,BKN,Nik Stauskas,19,5,2,3,0,0,1,5,2,3,1,0,0,5
43103BKN,BKN,Jarrett Allen,17,6,1,0,0,1,2,5,3,0,0,0,0,3
43103BKN,BKN,Jahlil Okafor,11,2,0,1,0,0,2,3,1,0,0,0,0,2
43103MIA,DET,Avery Bradley,38,15,4,1,1,0,2,19,6,9,3,2,0,4
43103MIA,DET,Tobias Harris,36,19,2,2,0,0,2,13,6,2,0,8,7,6
43103MIA,DET,Reggie Bullock,35,17,1,0,0,0,1,10,6,8,5,0,0,0
43103MIA,DET,Ishmael Smith,31,6,4,0,1,1,2,10,3,0,0,0,0,5
43103MIA,DET,Boban Marjanovi€à,22,15,3,0,0,1,2,8,5,0,0,5,5,9
43103MIA,DET,Luke Kennard,24,13,2,0,1,0,0,7,6,1,0,1,1,1
43103MIA,DET,Anthony Tolliver,20,5,1,3,0,0,2,5,2,3,1,0,0,3
43103MIA,DET,Eric Moreland,18,0,0,2,1,0,2,2,0,0,0,0,0,5
43103MIA,DET,Dwight Buycks,17,14,4,1,0,0,1,12,7,1,0,0,0,2
43103MIA,MIA,Josh Richardson,38,22,5,4,1,1,1,12,7,7,5,4,3,0
43103MIA,MIA,Goran Dragi€à,37,24,13,3,0,0,2,19,9,5,3,4,3,5
43103MIA,MIA,Kelly Olynyk,36,25,3,2,0,0,2,15,11,5,3,0,0,13
43103MIA,MIA,Tyler Johnson,33,2,3,0,0,0,3,5,1,3,0,0,0,3
43103MIA,MIA,Hassan Whiteside,17,10,2,0,1,1,3,8,5,0,0,0,0,4
43103MIA,MIA,Wayne Ellington,34,12,1,0,2,0,1,12,4,10,3,2,1,8
43103MIA,MIA,James Johnson,24,16,1,2,1,0,4,8,6,4,3,1,1,4
43103MIA,MIA,Bam Adebayo,10,0,1,1,0,0,0,4,0,0,0,0,0,3
43103MIA,MIA,Jordan Mickey,6,0,0,0,0,0,0,1,0,0,0,0,0,0
43103MIA,MIA,Derrick Walton,6,0,0,0,1,1,0,0,0,0,0,0,0,1
43103BOS,CLE,LeBron James,33,19,6,4,1,1,1,15,8,2,0,3,3,7
43103BOS,CLE,Jae Crowder,28,6,2,1,0,0,2,12,2,6,0,2,2,9
43103BOS,CLE,Kevin Love,21,2,2,1,0,2,0,11,1,4,0,0,0,5
43103BOS,CLE,J.R. Smith,21,10,1,1,1,0,2,6,4,3,2,0,0,3
43103BOS,CLE,Jose Calderon,19,6,0,1,1,0,4,4,2,3,1,1,1,2
43103BOS,CLE,Tristan Thompson,29,10,2,2,0,1,4,5,3,0,0,4,4,11
43103BOS,CLE,Jeff Green,27,13,0,3,0,2,2,11,3,2,0,7,7,3
43103BOS,CLE,Kyle Korver,26,15,1,0,0,0,0,11,5,8,5,0,0,3
43103BOS,CLE,Dwyane Wade,23,5,0,1,3,0,1,10,2,2,0,1,1,2
43103BOS,CLE,Cedi Osman,9,2,1,0,0,0,1,1,1,0,0,0,0,1
43103BOS,CLE,Channing Frye,6,0,1,0,0,1,0,3,0,2,0,0,0,2
43103BOS,CLE,Isaiah Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43103BOS,BOS,Jayson Tatum,30,15,2,0,0,0,1,14,6,3,1,2,2,5
43103BOS,BOS,Al Horford,29,11,3,2,1,0,1,7,5,1,1,0,0,9
43103BOS,BOS,Jaylen Brown,29,14,4,1,2,0,2,13,5,6,1,3,3,8
43103BOS,BOS,Kyrie Irving,28,11,6,2,1,0,2,14,5,5,0,2,1,9
43103BOS,BOS,Marcus Morris,25,3,2,2,1,1,2,6,1,2,0,2,1,4
43103BOS,BOS,Marcus Smart,27,15,4,2,1,0,3,14,6,6,3,0,0,4
43103BOS,BOS,Semi Ojeleye,23,0,1,1,2,0,3,4,0,4,0,0,0,2
43103BOS,BOS,Terry Rozier,20,20,3,4,0,1,2,12,8,6,4,0,0,4
43103BOS,BOS,Aron Baynes,17,6,2,1,1,0,2,3,3,0,0,0,0,6
43103BOS,BOS,Daniel Theis,5,6,0,0,0,0,0,2,2,2,2,0,0,0
43103BOS,BOS,Guerschon Yabusele,3,0,0,0,0,0,0,1,0,1,0,0,0,1
43103BOS,BOS,Abdel Nader,3,1,0,0,0,0,1,2,0,0,0,2,1,0
43103BOS,BOS,Shane Larkin,3,0,0,0,0,0,1,0,0,0,0,0,0,0
43103CHI,TOR,DeMar DeRozan,34,35,6,0,3,0,2,20,10,8,5,10,10,3
43103CHI,TOR,Kyle Lowry,32,16,4,5,2,0,2,14,5,7,2,4,4,5
43103CHI,TOR,Serge Ibaka,27,16,1,1,0,3,4,12,7,3,1,1,1,7
43103CHI,TOR,Jonas Valan€çiÅÇnas,18,0,0,2,0,1,2,2,0,0,0,0,0,4
43103CHI,TOR,OG Anunoby,16,3,0,0,0,0,0,5,1,4,0,1,1,3
43103CHI,TOR,Delon Wright,30,25,5,2,4,1,1,15,10,5,4,1,1,13
43103CHI,TOR,Jakob PÌ_ltl,25,6,1,0,0,0,4,5,3,0,0,0,0,2
43103CHI,TOR,Pascal Siakam,19,4,4,0,0,0,2,4,2,1,0,0,0,6
43103CHI,TOR,C.J. Miles,18,6,0,0,0,0,2,7,2,7,2,0,0,4
43103CHI,TOR,Fred VanVleet,17,13,2,1,0,0,0,7,5,2,1,2,2,2
43103CHI,TOR,Norman Powell,3,0,0,0,0,0,1,1,0,1,0,0,0,0
43103CHI,TOR,Lucas Nogueira,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43103CHI,CHI,Justin Holiday,39,26,4,2,1,0,2,10,7,9,6,7,6,4
43103CHI,CHI,Lauri Markkanen,32,22,1,2,1,0,3,17,9,8,2,2,2,12
43103CHI,CHI,Denzel Valentine,31,14,2,3,1,0,3,12,6,5,2,0,0,7
43103CHI,CHI,Kris Dunn,29,2,8,3,2,1,4,6,1,3,0,0,0,5
43103CHI,CHI,Robin Lopez,24,12,6,2,0,0,2,11,5,0,0,2,2,1
43103CHI,CHI,Nikola Miroti€à,26,20,2,0,0,1,2,17,7,7,3,4,3,5
43103CHI,CHI,Jerian Grant,19,11,6,0,0,0,0,7,4,0,0,4,3,1
43103CHI,CHI,David Nwaba,17,2,0,0,0,0,1,3,1,0,0,0,0,3
43103CHI,CHI,Bobby Portis,14,2,0,1,0,0,2,7,1,1,0,0,0,5
43103CHI,CHI,Paul Zipser,10,4,0,0,0,0,1,3,2,0,0,0,0,0
43103MIL,IND,Lance Stephenson,35,15,5,2,0,0,3,15,7,3,1,0,0,7
43103MIL,IND,Bojan Bogdanovi€à,29,13,3,0,0,0,2,13,5,4,0,3,3,3
43103MIL,IND,Thaddeus Young,28,4,3,0,1,1,4,8,2,2,0,0,0,2
43103MIL,IND,Darren Collison,26,17,2,3,3,0,1,9,6,2,1,4,4,2
43103MIL,IND,Myles Turner,24,9,2,3,0,1,3,8,3,1,0,4,3,6
43103MIL,IND,Domantas Sabonis,33,24,1,4,1,0,1,13,10,0,0,5,4,2
43103MIL,IND,Cory Joseph,32,10,6,2,1,0,2,9,5,1,0,1,0,7
43103MIL,IND,Joseph Young,18,4,2,0,0,0,3,4,1,1,0,2,2,1
43103MIL,IND,Alex Poythress,6,5,0,0,1,0,1,2,2,1,1,0,0,0
43103MIL,IND,Damien Wilkins,5,0,0,0,0,0,0,1,0,0,0,0,0,0
43103MIL,IND,T.J. Leaf,4,0,0,0,0,0,0,2,0,0,0,0,0,0
43103MIL,MIL,Khris Middleton,30,27,2,2,1,0,4,14,9,4,3,6,6,3
43103MIL,MIL,Giannis Antetokounmpo,29,31,5,2,1,2,1,18,12,1,0,8,7,10
43103MIL,MIL,Eric Bledsoe,28,7,5,1,1,0,2,4,3,2,1,0,0,1
43103MIL,MIL,John Henson,26,9,3,3,0,0,4,6,3,0,0,5,3,6
43103MIL,MIL,Tony Snell,26,9,1,1,1,1,1,8,3,3,1,2,2,2
43103MIL,MIL,Malcolm Brogdon,32,17,5,2,0,0,3,9,5,2,0,7,7,2
43103MIL,MIL,DeAndre Liggins,23,0,3,1,2,0,1,0,0,0,0,0,0,3
43103MIL,MIL,Thon Maker,22,12,0,2,0,1,4,10,5,2,2,0,0,4
43103MIL,MIL,Matthew Dellavedova,17,8,9,1,2,0,2,3,3,2,2,0,0,2
43103MIL,MIL,Sean Kilpatrick,4,2,0,1,0,0,1,2,1,1,0,0,0,0
43103MIL,MIL,Sterling Brown,4,0,0,0,0,1,0,1,0,0,0,0,0,1
43103DAL,GS,Kevin Durant,38,25,6,2,0,4,1,21,10,5,1,4,4,12
43103DAL,GS,Draymond Green,38,18,6,6,1,1,2,11,7,5,3,1,1,11
43103DAL,GS,Klay Thompson,36,25,4,1,2,1,1,19,11,6,3,0,0,5
43103DAL,GS,Stephen Curry,34,32,8,3,1,0,1,19,11,13,6,5,4,5
43103DAL,GS,Zaza Pachulia,12,7,2,0,0,0,2,4,2,0,0,4,3,2
43103DAL,GS,Patrick McCaw,22,7,1,0,1,0,2,5,3,1,0,2,1,5
43103DAL,GS,Jordan Bell,20,2,1,0,2,0,4,3,0,0,0,2,2,4
43103DAL,GS,David West,15,7,6,1,1,0,3,3,3,0,0,1,1,1
43103DAL,GS,Shaun Livingston,13,2,2,0,0,0,3,4,1,0,0,0,0,0
43103DAL,GS,Nick Young,12,0,0,1,0,1,2,2,0,2,0,0,0,1
43103DAL,DAL,Wesley Matthews,38,22,4,2,0,0,1,11,7,10,7,2,1,5
43103DAL,DAL,Harrison Barnes,34,18,4,1,0,1,1,13,7,5,2,2,2,5
43103DAL,DAL,Dennis Smith,29,14,8,2,1,0,3,18,6,8,2,0,0,2
43103DAL,DAL,Dirk Nowitzki,25,12,2,0,1,0,1,11,5,2,0,3,2,8
43103DAL,DAL,Maxi Kleber,16,5,0,0,0,1,2,6,2,3,1,0,0,1
43103DAL,DAL,Dwight Powell,28,21,2,1,1,0,2,9,7,2,2,5,5,8
43103DAL,DAL,Jose Barea,26,13,7,3,0,0,0,6,3,2,1,9,6,4
43103DAL,DAL,Yogi Ferrell,21,11,1,0,1,0,4,8,4,6,3,0,0,2
43103DAL,DAL,Devin Harris,19,6,1,1,1,0,3,7,2,5,1,1,1,3
43103DAL,DAL,Salah Mejri,4,0,0,2,1,0,0,1,0,0,0,0,0,2
43103DEN,PHO,Greg Monroe,35,16,4,2,0,0,4,12,7,0,0,2,2,10
43103DEN,PHO,T.J. Warren,33,13,5,1,4,1,0,16,5,1,0,3,3,5
43103DEN,PHO,Marquese Chriss,31,16,1,3,5,0,3,13,6,9,3,4,1,4
43103DEN,PHO,Devin Booker,30,17,5,2,0,0,3,13,4,7,2,8,7,2
43103DEN,PHO,Tyler Ulis,15,5,2,0,0,0,1,6,2,1,1,0,0,1
43103DEN,PHO,Josh Jackson,25,14,2,2,1,0,1,8,6,2,1,2,1,2
43103DEN,PHO,Isaiah Canaan,25,11,3,0,1,0,0,8,4,6,2,1,1,2
43103DEN,PHO,Dragan Bender,22,9,4,1,0,0,3,7,3,7,3,0,0,2
43103DEN,PHO,Troy Daniels,14,3,0,1,0,0,2,2,1,2,1,0,0,0
43103DEN,PHO,Alex Len,9,6,0,0,0,0,1,6,1,0,0,6,4,5
43103DEN,PHO,Danuel House,3,1,0,0,1,0,0,1,0,0,0,2,1,2
43103DEN,DEN,Nikola Joki€à,36,14,8,6,2,0,3,6,4,1,1,5,5,9
43103DEN,DEN,Wilson Chandler,35,17,4,1,0,2,1,9,7,4,3,0,0,7
43103DEN,DEN,Gary Harris,32,36,3,4,2,0,1,17,14,5,3,5,5,4
43103DEN,DEN,Jamal Murray,26,13,2,1,2,1,0,11,6,6,1,0,0,0
43103DEN,DEN,Mason Plumlee,24,7,6,3,0,5,3,5,3,0,0,2,1,8
43103DEN,DEN,Trey Lyles,27,16,1,2,0,0,2,11,5,5,2,4,4,11
43103DEN,DEN,Will Barton,20,12,6,1,0,0,0,13,5,2,0,2,2,3
43103DEN,DEN,Malik Beasley,16,10,3,1,1,1,1,5,4,2,1,2,1,2
43103DEN,DEN,Torrey Craig,13,0,1,0,0,0,2,1,0,0,0,0,0,2
43103DEN,DEN,Kenneth Faried,7,4,0,0,0,0,2,1,1,0,0,2,2,2
43103DEN,DEN,Richard Jefferson,2,0,0,1,0,0,0,0,0,0,0,0,0,0
43103DEN,DEN,Emmanuel Mudiay,2,5,1,0,1,0,1,3,2,2,1,0,0,0
43103UTA,NO,Anthony Davis,41,29,4,2,3,1,2,26,11,3,1,6,6,15
43103UTA,NO,Jrue Holiday,37,24,5,5,1,0,4,16,10,5,2,2,2,6
43103UTA,NO,E'Twaun Moore,33,6,5,6,0,0,1,5,2,3,2,0,0,2
43103UTA,NO,DeMarcus Cousins,31,19,1,4,2,1,5,11,7,4,2,3,3,11
43103UTA,NO,Rajon Rondo,15,12,3,1,0,0,0,9,5,5,2,0,0,3
43103UTA,NO,Darius Miller,34,9,0,0,1,0,4,6,3,5,3,0,0,1
43103UTA,NO,Dante Cunningham,24,6,0,0,1,0,1,3,2,2,1,1,1,2
43103UTA,NO,Jameer Nelson,19,3,4,2,0,0,0,6,1,3,1,0,0,2
43103UTA,NO,Ian Clark,6,0,1,0,0,0,1,0,0,0,0,0,0,0
43103UTA,UTA,Donovan Mitchell,38,24,2,3,1,0,3,17,6,11,3,10,9,3
43103UTA,UTA,Derrick Favors,35,11,2,2,1,1,1,10,5,0,0,2,1,9
43103UTA,UTA,Joe Ingles,33,8,5,1,1,0,3,7,3,6,2,0,0,4
43103UTA,UTA,Ricky Rubio,24,11,7,1,4,0,2,12,5,3,0,1,1,2
43103UTA,UTA,Jonas Jerebko,19,7,0,1,0,0,3,5,3,1,0,1,1,0
43103UTA,UTA,Rodney Hood,33,2,3,4,2,0,2,10,1,6,0,0,0,2
43103UTA,UTA,Joe Johnson,29,20,2,0,0,0,3,12,9,3,2,0,0,7
43103UTA,UTA,Alec Burks,16,9,1,2,1,0,2,7,3,2,0,3,3,6
43103UTA,UTA,Ekpe Udoh,13,6,1,0,2,0,2,4,3,0,0,0,0,3
43103LAL,OKC,Terrance Ferguson,33,24,1,0,3,0,5,12,9,9,6,0,0,1
43103LAL,OKC,Russell Westbrook,28,20,12,2,1,0,0,17,10,0,0,0,0,6
43103LAL,OKC,Carmelo Anthony,27,21,1,1,1,0,2,14,8,5,3,3,2,6
43103LAL,OKC,Paul George,27,24,3,3,3,0,3,14,9,7,3,4,3,2
43103LAL,OKC,Steven Adams,26,12,2,0,1,3,4,10,6,0,0,0,0,6
43103LAL,OKC,Josh Huestis,30,4,1,0,0,2,2,4,2,2,0,0,0,9
43103LAL,OKC,Jerami Grant,18,6,1,0,0,0,0,5,3,1,0,0,0,5
43103LAL,OKC,Raymond Felton,16,0,10,2,1,0,0,3,0,0,0,0,0,4
43103LAL,OKC,Patrick Patterson,15,7,1,1,0,0,0,4,2,3,1,2,2,1
43103LAL,OKC,Nick Collison,5,0,0,0,0,0,0,0,0,0,0,0,0,1
43103LAL,OKC,Daniel Hamilton,5,7,4,0,1,0,0,4,3,2,1,0,0,1
43103LAL,OKC,Kyle Singler,5,2,0,0,1,0,0,2,1,1,0,0,0,1
43103LAL,OKC,Dakari Johnson,5,6,0,0,0,0,1,4,3,0,0,0,0,1
43103LAL,LAL,Brandon Ingram,30,7,2,2,1,1,0,9,3,2,0,2,1,5
43103LAL,LAL,Kentavious Caldwell-Pope,29,12,4,1,0,0,1,9,5,2,2,0,0,6
43103LAL,LAL,Kyle Kuzma,28,18,1,4,0,2,2,14,7,6,3,3,1,3
43103LAL,LAL,Julius Randle,21,9,2,3,1,0,2,6,3,0,0,4,3,5
43103LAL,LAL,Tyler Ennis,21,4,6,1,0,0,2,5,2,1,0,0,0,4
43103LAL,LAL,Larry Nance Jr.,22,4,2,1,1,0,1,6,2,0,0,0,0,7
43103LAL,LAL,Jordan Clarkson,21,11,2,0,1,0,0,15,4,8,2,1,1,1
43103LAL,LAL,Corey Brewer,19,10,1,1,0,0,1,6,4,0,0,4,2,4
43103LAL,LAL,Josh Hart,19,6,1,1,1,1,0,7,2,6,1,1,1,2
43103LAL,LAL,Brook Lopez,16,10,0,1,0,0,1,11,4,6,2,0,0,5
43103LAL,LAL,Alex Caruso,8,5,3,1,0,0,0,3,2,2,1,0,0,3
43103LAL,LAL,Ivica Zubac,6,0,0,1,0,0,0,1,0,0,0,0,0,0
43104HOU,GS,Klay Thompson,38,28,4,1,0,0,2,20,11,9,6,0,0,3
43104HOU,GS,Draymond Green,38,17,10,4,2,1,3,9,5,3,0,8,7,14
43104HOU,GS,Stephen Curry,37,29,5,3,1,0,3,20,10,10,4,6,5,9
43104HOU,GS,Andre Iguodala,31,10,8,2,2,1,2,9,5,2,0,0,0,2
43104HOU,GS,Zaza Pachulia,14,6,1,0,1,0,2,5,2,0,0,2,2,1
43104HOU,GS,Nick Young,19,11,1,0,0,0,0,7,4,5,3,0,0,1
43104HOU,GS,Patrick McCaw,18,4,3,0,0,0,1,4,2,1,0,0,0,1
43104HOU,GS,Kevon Looney,15,7,0,0,0,1,0,4,3,0,0,2,1,8
43104HOU,GS,Shaun Livingston,13,0,1,1,0,0,1,2,0,0,0,2,0,4
43104HOU,GS,David West,12,12,2,1,0,2,3,7,6,0,0,0,0,2
43104HOU,GS,Jordan Bell,6,0,0,0,0,1,1,0,0,0,0,0,0,0
43104HOU,HOU,Eric Gordon,38,30,7,1,3,1,1,24,12,9,2,6,4,3
43104HOU,HOU,Chris Paul,36,28,9,5,0,0,5,21,10,10,5,3,3,7
43104HOU,HOU,Trevor Ariza,35,3,0,1,2,0,2,8,1,8,1,0,0,3
43104HOU,HOU,Clint Capela,28,15,0,2,0,1,2,10,7,0,0,4,1,10
43104HOU,HOU,Ryan Anderson,25,6,2,0,0,0,1,5,2,4,1,2,1,6
43104HOU,HOU,Gerald Green,34,29,0,0,1,0,2,16,9,15,8,3,3,3
43104HOU,HOU,P.J. Tucker,22,0,0,0,0,1,0,2,0,2,0,0,0,1
43104HOU,HOU,Briante Weber,12,2,2,1,0,0,2,3,1,2,0,0,0,2
43104HOU,HOU,Tarik Black,10,1,0,0,1,0,2,0,0,0,0,4,1,3
43104LAC,OKC,Russell Westbrook,38,29,11,6,1,0,3,24,11,2,2,6,5,12
43104LAC,OKC,Paul George,35,31,3,3,0,1,5,16,12,8,5,2,2,6
43104LAC,OKC,Steven Adams,35,12,2,2,1,1,2,11,5,0,0,2,2,9
43104LAC,OKC,Carmelo Anthony,31,22,2,0,0,0,5,12,9,6,3,3,1,4
43104LAC,OKC,Terrance Ferguson,31,11,2,0,0,0,2,12,4,10,3,0,0,1
43104LAC,OKC,Raymond Felton,21,12,3,1,1,0,2,11,5,6,2,0,0,3
43104LAC,OKC,Jerami Grant,20,8,0,0,0,3,2,5,4,0,0,1,0,5
43104LAC,OKC,Josh Huestis,15,0,0,0,0,1,0,1,0,1,0,0,0,2
43104LAC,OKC,Patrick Patterson,14,2,0,1,1,0,1,3,1,1,0,0,0,4
43104LAC,LAC,DeAndre Jordan,38,26,1,2,1,0,2,15,10,0,0,7,6,17
43104LAC,LAC,C.J. Williams,33,6,1,0,1,0,2,9,3,4,0,0,0,1
43104LAC,LAC,Blake Griffin,33,24,7,1,0,0,2,19,8,6,2,8,6,9
43104LAC,LAC,Wes Johnson,30,13,1,1,2,1,4,8,5,3,3,0,0,2
43104LAC,LAC,Milos Teodosic,9,2,4,2,0,0,1,2,1,1,0,0,0,0
43104LAC,LAC,Lou Williams,32,26,10,4,0,0,0,22,8,11,4,7,6,3
43104LAC,LAC,Jawun Evans,23,4,4,0,1,0,3,8,2,2,0,0,0,3
43104LAC,LAC,Sam Dekker,19,8,1,0,0,0,0,6,4,1,0,0,0,2
43104LAC,LAC,Sindarius Thornwell,12,0,0,0,0,1,0,3,0,2,0,0,0,3
43104LAC,LAC,Montrezl Harrell,11,8,0,0,0,0,1,8,4,0,0,1,0,5
43104LAC,LAC,Willie Reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43105MIA,NY,Courtney Lee,40,24,1,4,2,0,4,16,9,3,1,5,5,3
43105MIA,NY,Kristaps PorziÅ €£is,37,15,1,2,1,3,4,14,5,3,1,4,4,7
43105MIA,NY,Jarrett Jack,34,8,5,3,1,0,3,12,4,1,0,0,0,2
43105MIA,NY,Lance Thomas,28,1,0,2,1,1,3,2,0,0,0,2,1,2
43105MIA,NY,Enes Kanter,25,14,0,3,2,2,2,7,6,0,0,2,2,8
43105MIA,NY,Frank Ntilikina,25,2,4,1,0,1,5,3,0,1,0,4,2,1
43105MIA,NY,Doug McDermott,24,9,0,1,0,0,1,6,3,4,2,1,1,2
43105MIA,NY,Michael Beasley,23,20,2,2,2,0,1,11,8,1,1,3,3,10
43105MIA,NY,Kyle O'Quinn,17,10,1,1,0,0,3,9,4,0,0,2,2,3
43105MIA,NY,Ron Baker,12,0,0,0,2,0,0,0,0,0,0,0,0,1
43105MIA,MIA,Goran Dragi€à,40,19,6,5,0,0,3,18,8,8,3,0,0,6
43105MIA,MIA,Josh Richardson,40,18,2,1,3,1,2,12,5,4,1,7,7,1
43105MIA,MIA,Kelly Olynyk,35,10,4,2,1,0,4,10,4,3,0,2,2,10
43105MIA,MIA,Tyler Johnson,33,16,4,0,4,1,3,14,5,6,2,5,4,2
43105MIA,MIA,Hassan Whiteside,23,12,0,3,0,2,3,11,6,0,0,0,0,7
43105MIA,MIA,Wayne Ellington,36,24,0,1,1,0,2,19,9,16,6,0,0,4
43105MIA,MIA,James Johnson,33,4,6,1,1,1,1,7,0,4,0,4,4,4
43105MIA,MIA,Bam Adebayo,15,2,2,1,0,0,0,0,0,0,0,2,2,7
43105MIA,MIA,Derrick Jones,9,2,0,0,0,0,1,3,1,1,0,0,0,3
43105PHI,DET,Andre Drummond,29,10,5,2,1,0,3,9,4,0,0,2,2,8
43105PHI,DET,Ishmael Smith,26,11,2,1,2,1,2,10,4,0,0,4,3,0
43105PHI,DET,Tobias Harris,26,14,3,0,2,1,2,12,5,4,1,4,3,3
43105PHI,DET,Reggie Bullock,24,5,0,2,1,0,1,5,2,4,1,0,0,1
43105PHI,DET,Avery Bradley,22,4,1,2,0,0,2,8,2,1,0,0,0,0
43105PHI,DET,Dwight Buycks,22,9,6,3,1,0,1,8,4,1,0,2,1,3
43105PHI,DET,Langston Galloway,22,11,1,0,1,0,1,9,4,5,2,3,1,3
43105PHI,DET,Luke Kennard,20,3,0,0,1,0,2,3,1,1,1,0,0,3
43105PHI,DET,Eric Moreland,12,0,1,0,0,1,0,0,0,0,0,0,0,5
43105PHI,DET,Henry Ellenson,12,5,0,1,0,0,0,5,2,1,1,2,0,3
43105PHI,DET,Anthony Tolliver,12,4,0,1,0,1,0,5,1,5,1,2,1,2
43105PHI,DET,Boban Marjanovi€à,7,2,1,0,0,0,0,4,1,0,0,0,0,2
43105PHI,DET,Luis Montero,6,0,0,0,0,0,0,1,0,0,0,0,0,1
43105PHI,PHI,Joel Embiid,25,23,0,1,0,1,3,16,9,2,1,5,4,9
43105PHI,PHI,J.J. Redick,24,21,3,0,0,0,0,11,6,8,3,6,6,2
43105PHI,PHI,Robert Covington,24,11,0,1,1,0,2,6,4,5,3,0,0,5
43105PHI,PHI,Ben Simmons,23,19,9,4,2,2,4,13,9,0,0,1,1,4
43105PHI,PHI,Dario Saric,21,11,3,1,0,0,0,10,4,4,2,1,1,6
43105PHI,PHI,T.J. McConnell,30,2,4,2,1,1,2,4,1,0,0,0,0,5
43105PHI,PHI,Richaun Holmes,20,0,1,0,0,0,0,4,0,0,0,0,0,7
43105PHI,PHI,TimothÌ© Luwawu-Cabarrot,18,13,4,1,0,0,0,8,5,4,3,0,0,2
43105PHI,PHI,Amir Johnson,16,4,1,0,1,0,2,6,2,0,0,0,0,5
43105PHI,PHI,Jerryd Bayless,15,7,3,1,0,0,2,5,3,2,1,0,0,1
43105PHI,PHI,Trevor Booker,8,0,0,1,0,0,1,2,0,0,0,0,0,3
43105PHI,PHI,Justin Anderson,8,0,1,0,0,0,0,3,0,3,0,0,0,4
43105PHI,PHI,James Michael McAdoo,7,3,0,0,0,0,1,2,1,2,1,0,0,2
43105BOS,MIN,Karl-Anthony Towns,42,25,1,0,0,2,2,16,9,4,1,6,6,23
43105BOS,MIN,Andrew Wiggins,36,10,1,2,1,2,3,12,3,4,1,6,3,3
43105BOS,MIN,Jimmy Butler,35,14,6,4,3,0,1,12,3,3,0,10,8,2
43105BOS,MIN,Taj Gibson,34,8,2,2,0,0,1,8,3,0,0,2,2,3
43105BOS,MIN,Tyus Jones,30,7,3,0,1,0,5,7,3,3,1,0,0,2
43105BOS,MIN,Jamal Crawford,19,13,0,3,0,1,0,8,4,5,4,2,1,3
43105BOS,MIN,Gorgui Dieng,18,1,0,1,0,0,1,1,0,0,0,2,1,4
43105BOS,MIN,Aaron Brooks,15,4,2,0,1,0,1,7,2,2,0,0,0,1
43105BOS,MIN,Nemanja Bjelica,11,2,0,0,0,0,1,5,1,2,0,0,0,2
43105BOS,MIN,Marcus Georges-Hunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43105BOS,BOS,Kyrie Irving,37,16,8,2,2,0,4,16,6,4,1,4,3,9
43105BOS,BOS,Jaylen Brown,33,11,1,1,0,2,5,15,4,6,1,2,2,5
43105BOS,BOS,Al Horford,31,7,8,2,1,1,2,9,3,5,1,1,0,5
43105BOS,BOS,Jayson Tatum,31,4,1,0,1,0,1,7,2,4,0,0,0,3
43105BOS,BOS,Aron Baynes,27,11,1,0,0,1,3,13,5,0,0,2,1,10
43105BOS,BOS,Marcus Smart,29,18,3,0,1,0,1,13,8,4,0,2,2,3
43105BOS,BOS,Daniel Theis,25,8,1,3,1,0,4,8,3,5,1,2,1,10
43105BOS,BOS,Terry Rozier,22,14,1,1,0,0,1,11,6,7,2,0,0,9
43105BOS,BOS,Guerschon Yabusele,4,2,0,1,0,0,0,1,1,0,0,0,0,1
43105BOS,BOS,Semi Ojeleye,3,0,0,0,0,0,1,1,0,1,0,0,0,1
43105MIL,TOR,OG Anunoby,31,5,1,2,2,0,1,6,2,5,1,0,0,0
43105MIL,TOR,DeMar DeRozan,29,20,4,3,2,1,1,12,7,3,1,7,5,5
43105MIL,TOR,Serge Ibaka,29,21,0,2,1,0,1,12,8,5,1,4,4,5
43105MIL,TOR,Kyle Lowry,27,15,4,1,2,0,2,10,5,8,4,2,1,6
43105MIL,TOR,Jonas Valan€çiÅÇnas,17,20,1,0,0,1,2,9,8,0,0,5,4,13
43105MIL,TOR,Delon Wright,20,12,7,0,1,0,1,7,5,1,0,3,2,2
43105MIL,TOR,Pascal Siakam,19,8,2,1,1,0,3,4,3,1,0,2,2,3
43105MIL,TOR,Fred VanVleet,19,10,3,1,0,0,1,10,4,3,1,1,1,1
